id,prereqClass,textContent
1 , 1 , princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection automation biological research  robotics machine learning need automated learning biology motivating examples established active learning applications  review statistics machine learning   review passive classification  active classification  myopic active learning algorithms  data access models paper  biological applications active classification paper  biological applications active classification  active semi supervised learning  missing value imputation  laboratory automation high content screening high content screening data analysis  laboratory automation gene sequencing gene sequencing data analysis recitation worksheet laboratory automation using microfluidic devices biological applications active learning biological applications active learning biological applications active learning biological applications active learning advanced active learning topics biological applications active learning biological applications active learning
 2 , 0 , automation biological research  robotics machine learning need automated learning biology motivating examples established active learning applications  review statistics machine learning   review passive classification  active classification  myopic active learning algorithms  data access models paper  biological applications active classification paper  biological applications active classification  active semi supervised learning  missing value imputation  laboratory automation high content screening high content screening data analysis  laboratory automation gene sequencing gene sequencing data analysis recitation worksheet laboratory automation using microfluidic devices biological applications active learning biological applications active learning biological applications active learning biological applications active learning advanced active learning topics biological applications active learning biological applications active learning princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection
 3 , 1 , princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection machine learning overview learning concept learning  version spaces  inductive bias tutorial information theory decision trees  overfitting  occam razor review probability theory  linear regression neural networks review statistical estimation hypothesis testing machine learning bayesian learning  map ml  bayes optimal classifiers  gibbs sampling  mdl naive bayes graphical models spring carnival by dr  drew bagnell imitation learning hmm  em minimum description length  instance based learning  knn  locally weighted regression kernel based methods  maximum margin classifiers  bagging  boosting
 4 , 0 , machine learning overview learning concept learning  version spaces  inductive bias tutorial information theory decision trees  overfitting  occam razor review probability theory  linear regression neural networks review statistical estimation hypothesis testing machine learning bayesian learning  map ml  bayes optimal classifiers  gibbs sampling  mdl naive bayes graphical models spring carnival by dr  drew bagnell imitation learning hmm  em minimum description length  instance based learning  knn  locally weighted regression kernel based methods  maximum margin classifiers  bagging  boosting princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection
 5 , 1 , princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection computer music systems information processing course overview syllabus introduction  global network orchestra interactive music performance midi introduction midi standard serpent serpent midi api discrete event simulation events serpent scheduling algorithms active objects virtual time tempo logical  virtual  time systems tempo time maps formula programming language multiple nested logical time systems precise timing event buffers latency timed messages music theory algorithmic music composition markov models pitch sequences pitch + rhythm concurrencies music grammars algorithmic music composition pattern generators suffix trees clock synchronization open sound control laptop orchestras music networks audio concepts  samples  frames  blocks synchronous processing audio system organization global network orchestra performance concurrency real time static priority priority inversion music representation file formats  standard midi file format allegro file format symbolic notation operations scores  tempo change articulation timbre instrumentation transposition octave doubling parameter mapping hierarchical scores multiple hierarchies audio unit generator software organization music signal processing max family programming languages music automatic classifiers basic theory naive bayesian classifiers music classification music features symbolic acoustic music features key estimation chord recognition beat detection music robot linnstrument content based music information retrieval computer accompaniment audio alignment score following monophonic melodies polyphonic keyboard performance vocal performance using hmm models accompaniment synchronization human computer music performance
 6 , 0 , computer music systems information processing course overview syllabus introduction  global network orchestra interactive music performance midi introduction midi standard serpent serpent midi api discrete event simulation events serpent scheduling algorithms active objects virtual time tempo logical  virtual  time systems tempo time maps formula programming language multiple nested logical time systems precise timing event buffers latency timed messages music theory algorithmic music composition markov models pitch sequences pitch + rhythm concurrencies music grammars algorithmic music composition pattern generators suffix trees clock synchronization open sound control laptop orchestras music networks audio concepts  samples  frames  blocks synchronous processing audio system organization global network orchestra performance concurrency real time static priority priority inversion music representation file formats  standard midi file format allegro file format symbolic notation operations scores  tempo change articulation timbre instrumentation transposition octave doubling parameter mapping hierarchical scores multiple hierarchies audio unit generator software organization music signal processing max family programming languages music automatic classifiers basic theory naive bayesian classifiers music classification music features symbolic acoustic music features key estimation chord recognition beat detection music robot linnstrument content based music information retrieval computer accompaniment audio alignment score following monophonic melodies polyphonic keyboard performance vocal performance using hmm models accompaniment synchronization human computer music performance princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection
 7 , 1 , princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection artificial intelligence optimization 1  discrete heuristic  heuristic search  adding state  csps  application           classical planning               motion planning robotics             intro probability             bayes nets 1             bayes nets 2             optimization 2  stochastic continuous                data driven ai  probabilistic            data driven ai  instance based           data driven ai  regression classification            clustering               living your life no regret          computer vision          bandits          mdps             imitation learning               reinforcement learning 1                 reinforcement learning 2                 games 1  zero sum minimax theorem                games 2  general sum correlation             auction   voting                 multi agent planning             natural language processing              ai real world
 8 , 0 , artificial intelligence optimization 1  discrete heuristic  heuristic search  adding state  csps  application           classical planning               motion planning robotics             intro probability             bayes nets 1             bayes nets 2             optimization 2  stochastic continuous                data driven ai  probabilistic            data driven ai  instance based           data driven ai  regression classification            clustering               living your life no regret          computer vision          bandits          mdps             imitation learning               reinforcement learning 1                 reinforcement learning 2                 games 1  zero sum minimax theorem                games 2  general sum correlation             auction   voting                 multi agent planning             natural language processing              ai real world princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection
 9 , 1 , princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection robot kinematics dynamics  cs  foundations principles robotic kinematics  transformations  forward kinematics  inverse kinematics  differential kinematics  jacobians   manipulability  basic equations motion  course also include programming robot arms
 10 , 0 , robot kinematics dynamics  cs  foundations principles robotic kinematics  transformations  forward kinematics  inverse kinematics  differential kinematics  jacobians   manipulability  basic equations motion  course also include programming robot arms princiles imperative computation ints while       loops arrays         recitationg   integers linear        search        recitation   more                    c0          operators     reasoning   arrays       loops binary        search        sorting                asymptotic    complexity   recitation   c0           debugging     big         o          binary  search   debugging quicksort      recitation   unit         testing       big         o stacks                 queues         recitation   interfaces   struct pointers       testing       methodology   unbounded     arrays        recitation   amortized    analysis hash          tables        recitation   hashing interfaces     recitation   hashing      backtracking  search midterm       exam         sample        solution binary        search       trees          recitation   binary       search        trees priority      queues        recitation   priority     queues restoring     invariants    recitation   heaps                  heapsort memory           avl           trees         types                   c              tries          polymorphism   virtual       machines      search                  graphs spanning      trees union find garbage       collection
